feedback_id,date,canal,segment_client,region,produit_service,parcours_client,score,sentiment_attendu,theme_attendu,sous_theme,irritant,niveau_urgence,impact_business,est_bloquant,commentaire
SAAS-000001,2025-05-15,Email client,Grand compte,Canada,Export reporting,Support,1,negative,Support client,escalade difficile,escalade difficile,Faible,risque contractuel et insatisfaction compte clé,False,personne repond
SAAS-000002,2025-10-21,Feedback onboarding,PME,Afrique francophone,API,Renouvellement,2,negative,Onboarding / Usage,activation trop longue,activation trop longue,Faible,risque de non-adoption et churn précoce,False,"Les nouveaux utilisateurs se perdent dans l’interface dès la première connexion. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
SAAS-000003,2025-06-11,Chat produit,PME,Belgique,Gestion utilisateurs,Usage quotidien,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"à revoir, surtout les explications"
SAAS-000004,2025-06-16,Enquête NPS,Grand compte,Canada,API,Usage quotidien,1,negative,Produit / Qualité,métriques incohérentes,métriques incohérentes,Faible,perte de confiance dans la donnée produit,False,"Le tableau de bord met trop de temps à charger dès que le volume de données augmente. Le cas concerne le segment grand compte, sur le parcours usage quotidien, avec un impact direct sur api."
SAAS-000005,2025-06-08,Ticket support,Équipe support,France,API,Usage quotidien,1,negative,Support client,escalade difficile,escalade difficile,Faible,risque contractuel et insatisfaction compte clé,False,"L’escalade vers une personne technique prend trop de temps. Pour un profil équipe support, ce niveau de friction réduit fortement la confiance dans le service."
SAAS-000006,2025-10-27,Ticket support,Équipe support,Canada,Dashboard analytics,Support,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,ça devient pénible
SAAS-000007,2025-12-22,Chat produit,Grand compte,France,Export reporting,Configuration,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,pas bloqué mais pas fluide non plus
SAAS-000008,2025-05-21,Feedback onboarding,Grand compte,France,Export reporting,Usage quotidien,2,negative,Produit / Qualité,perte de données,perte de données,Faible,perte de confiance dans la donnée produit,False,Certaines métriques changent sans explication entre deux connexions. Cela m’a obligé à relancer plusieurs fois.
SAAS-000009,2025-05-27,Enquête NPS,Grand compte,Afrique francophone,Module onboarding,Activation,2,negative,Produit / Qualité,perte de données,perte de données,Faible,perte de confiance dans la donnée produit,False,Le tableau de bord met trop de temps à charger dès que le volume de données augmente. Cela donne l’impression que le suivi n’est pas maîtrisé.
SAAS-000010,2025-06-11,Ticket support,Startup,Canada,Dashboard analytics,Usage quotidien,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"bof, ça marche mais ce n’est pas très clair"
SAAS-000011,2025-05-17,Email client,Startup,Canada,API,Renouvellement,2,negative,Onboarding / Usage,configuration complexe,configuration complexe,Faible,risque de non-adoption et churn précoce,False,service catastrophique
SAAS-000012,2026-01-20,Chat produit,Équipe produit,France,Dashboard analytics,Renouvellement,3,negative,Communication,manque de roadmap,manque de roadmap,Faible,manque de prévisibilité pour les clients B2B,False,trop lent franchement
SAAS-000013,2025-03-15,Email client,Équipe produit,France,API,Configuration,2,negative,Onboarding / Usage,parcours confus,parcours confus,Faible,risque de non-adoption et churn précoce,False,"La configuration initiale demande trop d’allers-retours avec le support. Le cas concerne le segment équipe produit, sur le parcours configuration, avec un impact direct sur api."
SAAS-000014,2025-05-08,Email client,Équipe produit,Belgique,Export reporting,Activation,2,negative,Produit / Qualité,bug bloquant,bug bloquant,Faible,perte de confiance dans la donnée produit,False,Le tableau de bord met trop de temps à charger dès que le volume de données augmente. Cela donne l’impression que le suivi n’est pas maîtrisé.
