feedback_id,date,canal,segment_client,region,produit_service,parcours_client,score,sentiment_attendu,theme_attendu,sous_theme,irritant,niveau_urgence,impact_business,est_bloquant,commentaire
ECOMMERCE-000001,2025-03-17,Chat client,Nouveau client,Île-de-France,Livraison express,Livraison,1,negative,Produit / Qualité,emballage insuffisant,emballage insuffisant,Faible,dégradation de la promesse produit,False,Le produit reçu ne correspond pas aux photos du site. Cette situation est remontée depuis Île-de-France et touche surtout le parcours livraison.
ECOMMERCE-000002,2025-04-30,Email SAV,Nouveau client,Suisse,Abonnement premium,Remboursement,3,negative,Produit / Qualité,produit défectueux,produit défectueux,Faible,dégradation de la promesse produit,False,"Il manque une pièce essentielle dans le colis, donc je ne peux pas utiliser le produit. Cette situation est remontée depuis Suisse et touche surtout le parcours remboursement."
ECOMMERCE-000003,2025-07-14,Avis site,Client premium,Île-de-France,Commande marketplace,Achat,2,negative,Livraison / Logistique,retard livraison express,retard livraison express,Faible,perte de confiance post-achat,False,je comprend pas le suivi
ECOMMERCE-000004,2025-11-24,Chat client,Client premium,Suisse,Abonnement premium,Livraison,1,negative,Livraison / Logistique,colis marqué livré mais non reçu,colis marqué livré mais non reçu,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Pour un profil client premium, ce niveau de friction réduit fortement la confiance dans le service."
ECOMMERCE-000005,2025-11-11,Chat client,Client premium,Hauts-de-France,Livraison standard,Support après-vente,2,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Modérée,perte de confiance post-achat,True,"Le suivi colis changeait tous les jours entre en préparation, expédié et livré. Impossible de savoir où était réellement la commande. Cette situation est remontée depuis Hauts-de-France et touche surtout le parcours support après-vente."
ECOMMERCE-000006,2026-01-08,Chat client,Client premium,Belgique,Livraison standard,Livraison,2,negative,Support client,relances multiples,relances multiples,Faible,augmentation des relances et baisse satisfaction,False,"L’agent était poli, mais il n’avait pas la capacité de résoudre le problème. Cette situation est remontée depuis Belgique et touche surtout le parcours livraison."
ECOMMERCE-000007,2025-07-16,Trustpilot,Client premium,Suisse,Abonnement premium,Remboursement,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,L’expérience s’est bien passée. Les informations étaient compréhensibles et le suivi était correct.
ECOMMERCE-000008,2025-12-10,Avis site,Nouveau client,Île-de-France,Livraison express,Livraison,3,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Faible,perte de confiance post-achat,False,toujours rien...
ECOMMERCE-000009,2025-03-02,Application mobile,Nouveau client,Île-de-France,Retour produit,Retour,1,negative,Remboursement / Facturation,double prélèvement,double prélèvement,Faible,friction financière et perte de crédibilité,False,personne répond
ECOMMERCE-000010,2026-01-30,Chat client,Client régulier,Hauts-de-France,Livraison express,Support après-vente,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"Le service a été rapide, clair et la personne en charge m’a donné une réponse utile."
ECOMMERCE-000011,2025-05-10,Avis site,Client entreprise,Île-de-France,Retour produit,Retour,3,negative,Support client,réponses automatiques,réponses automatiques,Faible,augmentation des relances et baisse satisfaction,False,toujours le même problème
ECOMMERCE-000012,2025-05-24,Trustpilot,Client régulier,Hauts-de-France,Abonnement premium,Livraison,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,super cette fois
ECOMMERCE-000013,2025-09-02,Chat client,Client premium,Belgique,Commande marketplace,Support après-vente,1,negative,Livraison / Logistique,retard livraison express,retard livraison express,Faible,perte de confiance post-achat,False,"Le colis a été reporté trois fois sans information claire. J’ai dû contacter le service client moi-même pour comprendre où était ma commande. Le cas concerne le segment client premium, sur le parcours support après-vente, avec un impact direct sur commande marketplace."
ECOMMERCE-000014,2025-05-31,Avis site,Nouveau client,Auvergne-Rhône-Alpes,Abonnement premium,Livraison,1,negative,Support client,délai de réponse long,délai de réponse long,Faible,augmentation des relances et baisse satisfaction,False,nul
ECOMMERCE-000015,2025-09-11,Chat client,Nouveau client,Belgique,Commande marketplace,Remboursement,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,service catastrophique
ECOMMERCE-000016,2025-04-14,Chat client,Nouveau client,Belgique,Livraison standard,Livraison,1,negative,Livraison / Logistique,suivi colis incohérent,suivi colis incohérent,Faible,perte de confiance post-achat,False,ça devient pénible
ECOMMERCE-000017,2026-01-16,Application mobile,Nouveau client,Île-de-France,Livraison standard,Achat,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"L’expérience est correcte, mais il manque un suivi plus visible."
ECOMMERCE-000018,2026-02-17,Email SAV,Client entreprise,Île-de-France,Commande marketplace,Achat,3,negative,Produit / Qualité,erreur de taille,erreur de taille,Faible,dégradation de la promesse produit,False,"Le produit fonctionne, mais l’emballage était insuffisant et plusieurs éléments étaient rayés à l’arrivée. Cette situation est remontée depuis Île-de-France et touche surtout le parcours achat."
ECOMMERCE-000019,2025-09-16,Avis site,Nouveau client,Auvergne-Rhône-Alpes,Livraison standard,Support après-vente,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"merci au support cette fois, problème réglé rapidement"
ECOMMERCE-000020,2025-11-04,Avis site,Nouveau client,Suisse,Livraison express,Achat,2,negative,Livraison / Logistique,retard livraison express,retard livraison express,Faible,perte de confiance post-achat,False,Le colis a été reporté trois fois sans information claire. J’ai dû contacter le service client moi-même pour comprendre où était ma commande. Cela a augmenté le stress autour de la démarche.
ECOMMERCE-000021,2025-05-24,Email SAV,Client premium,Auvergne-Rhône-Alpes,Retour produit,Livraison,1,negative,Support client,réponses contradictoires,réponses contradictoires,Élevée,augmentation des relances et baisse satisfaction,True,"J’ai ouvert une demande urgente mais je n’ai reçu aucune réponse utile pendant plusieurs jours. Le cas concerne le segment client premium, sur le parcours livraison, avec un impact direct sur retour produit."
ECOMMERCE-000022,2025-12-26,Chat client,Client régulier,Suisse,Livraison express,Retour,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Je n’ai pas rencontré de blocage majeur, mais la communication pourrait être améliorée."
ECOMMERCE-000023,2025-05-24,Chat client,Nouveau client,Suisse,Livraison standard,Livraison,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,pas bloqué mais pas fluide non plus
ECOMMERCE-000024,2025-09-22,Email SAV,Client régulier,Auvergne-Rhône-Alpes,Retour produit,Support après-vente,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,réponse rapide et claire
ECOMMERCE-000025,2025-06-30,Chat client,Nouveau client,Belgique,Livraison standard,Achat,3,negative,Communication,informations contradictoires,informations contradictoires,Faible,manque de visibilité client,False,"Les informations sur les délais sont trop générales. Le cas concerne le segment nouveau client, sur le parcours achat, avec un impact direct sur livraison standard."
ECOMMERCE-000026,2025-10-27,Avis site,Client régulier,Suisse,Retour produit,Support après-vente,2,negative,Livraison / Logistique,colis marqué livré mais non reçu,colis marqué livré mais non reçu,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Le cas concerne le segment client régulier, sur le parcours support après-vente, avec un impact direct sur retour produit."
ECOMMERCE-000027,2026-02-12,Email SAV,Client entreprise,Suisse,Livraison express,Livraison,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"La procédure est faisable, mais elle demande beaucoup d’attention pour éviter une erreur."
ECOMMERCE-000028,2025-07-27,Chat client,Client entreprise,Hauts-de-France,Livraison express,Achat,3,negative,Remboursement / Facturation,montant incorrect,montant incorrect,Faible,friction financière et perte de crédibilité,False,merci au support
ECOMMERCE-000029,2025-06-01,Email SAV,Client régulier,Île-de-France,Commande marketplace,Retour,1,negative,Produit / Qualité,qualité inférieure aux photos,qualité inférieure aux photos,Faible,dégradation de la promesse produit,False,trop lent franchement
ECOMMERCE-000030,2025-02-28,Application mobile,Client premium,Hauts-de-France,Retour produit,Achat,1,negative,Produit / Qualité,qualité inférieure aux photos,qualité inférieure aux photos,Faible,dégradation de la promesse produit,False,J’ai reçu une mauvaise taille malgré une commande correctement validée. Cette situation est remontée depuis Hauts-de-France et touche surtout le parcours achat.
ECOMMERCE-000031,2025-07-17,Application mobile,Client entreprise,Île-de-France,Abonnement premium,Livraison,1,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,pas normal
ECOMMERCE-000032,2025-10-28,Chat client,Client premium,Belgique,Commande marketplace,Retour,1,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,"Le service client répond avec des messages automatiques qui ne traitent pas mon problème. Pour un profil client premium, ce niveau de friction réduit fortement la confiance dans le service."
ECOMMERCE-000033,2025-08-28,Application mobile,Client entreprise,Suisse,Retour produit,Remboursement,1,negative,Remboursement / Facturation,montant incorrect,montant incorrect,Faible,friction financière et perte de crédibilité,False,"Le remboursement devait être effectué sous quelques jours, mais après deux semaines je n’ai toujours rien reçu. Pour un profil client entreprise, ce niveau de friction réduit fortement la confiance dans le service."
ECOMMERCE-000034,2026-02-16,Avis site,Client régulier,Hauts-de-France,Livraison standard,Livraison,2,negative,Produit / Qualité,erreur de taille,erreur de taille,Faible,dégradation de la promesse produit,False,service catastrophique
ECOMMERCE-000035,2025-12-07,Email SAV,Client entreprise,Hauts-de-France,Livraison standard,Achat,1,negative,Produit / Qualité,emballage insuffisant,emballage insuffisant,Faible,dégradation de la promesse produit,True,commande jamais recu
