feedback_id,date,canal,segment_client,region,produit_service,parcours_client,score,sentiment_attendu,theme_attendu,sous_theme,irritant,niveau_urgence,impact_business,est_bloquant,commentaire
EMBASSY-000001,2025-08-01,Avis citoyen,Diaspora,Luxembourg,Rendez-vous,Retrait document,1,negative,Démarches administratives,procédure passeport confuse,procédure passeport confuse,Élevée,perte de confiance citoyenne et saturation des demandes,True,Le délai de traitement bloque mon voyage alors que la situation est urgente. Cette situation est remontée depuis Luxembourg et touche surtout le parcours retrait document.
EMBASSY-000002,2025-07-13,Avis citoyen,Diaspora,Luxembourg,Passeport,Prise de rendez-vous,1,negative,Démarches administratives,dossier sans suivi,dossier sans suivi,Faible,perte de confiance citoyenne et saturation des demandes,False,service lent
EMBASSY-000003,2025-02-23,Formulaire de contact,Professionnel,Luxembourg,Acte consulaire,Retrait document,2,negative,Démarches administratives,délai traitement long,délai traitement long,Modérée,perte de confiance citoyenne et saturation des demandes,False,aucune visibilité
EMBASSY-000004,2025-07-17,Avis citoyen,Étudiant,Pays-Bas,Acte consulaire,Dépôt dossier,1,negative,Démarches administratives,documents demandés contradictoires,documents demandés contradictoires,Faible,perte de confiance citoyenne et saturation des demandes,False,"Je n’arrive pas à obtenir un rendez-vous pour le renouvellement de mon passeport. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
EMBASSY-000005,2025-08-22,Accueil physique,Urgence voyage,France,Rendez-vous,Suivi dossier,2,negative,Communication,emails sans réponse,emails sans réponse,Faible,augmentation des relances et incompréhension des procédures,False,"Le téléphone sonne longtemps sans réponse. Le cas concerne le segment urgence voyage, sur le parcours suivi dossier, avec un impact direct sur rendez-vous."
EMBASSY-000006,2025-08-10,Formulaire de contact,Diaspora,Suisse,Acte consulaire,Prise de rendez-vous,1,negative,Communication,emails sans réponse,emails sans réponse,Faible,augmentation des relances et incompréhension des procédures,False,Le téléphone sonne longtemps sans réponse. Cette situation est remontée depuis Suisse et touche surtout le parcours prise de rendez-vous.
EMBASSY-000007,2025-09-07,Email consulaire,Étudiant,Pays-Bas,Légalisation,Dépôt dossier,1,negative,Communication,téléphone injoignable,téléphone injoignable,Faible,augmentation des relances et incompréhension des procédures,False,"Le téléphone sonne longtemps sans réponse. Pour un profil étudiant, ce niveau de friction réduit fortement la confiance dans le service."
EMBASSY-000008,2025-02-14,Accueil physique,Diaspora,Pays-Bas,Visa,Paiement,2,negative,Paiement / Frais consulaires,paiement supplémentaire,paiement supplémentaire,Faible,friction administrative et manque de transparence,False,bloqué depuis hier
EMBASSY-000009,2025-06-20,Email consulaire,Professionnel,Luxembourg,Visa,Retrait document,2,negative,Démarches administratives,documents demandés contradictoires,documents demandés contradictoires,Élevée,perte de confiance citoyenne et saturation des demandes,True,Le délai de traitement bloque mon voyage alors que la situation est urgente. Cette situation est remontée depuis Luxembourg et touche surtout le parcours retrait document.
EMBASSY-000010,2025-07-19,Accueil physique,Professionnel,Pays-Bas,Légalisation,Dépôt dossier,1,negative,Accueil / Support usager,expérience stressante,expérience stressante,Modérée,expérience usager dégradée,False,Je dois répéter ma situation à chaque contact. Cela a créé une perte de confiance.
EMBASSY-000011,2025-08-01,Téléphone,Urgence voyage,Suisse,Acte consulaire,Prise de rendez-vous,2,negative,Communication,absence de notification,absence de notification,Faible,augmentation des relances et incompréhension des procédures,False,vraiment compliqué
EMBASSY-000012,2025-09-12,Formulaire de contact,Professionnel,Pays-Bas,Visa,Suivi dossier,3,negative,Communication,téléphone injoignable,téléphone injoignable,Faible,augmentation des relances et incompréhension des procédures,False,très déçu
EMBASSY-000013,2025-02-13,Formulaire de contact,Étudiant,France,Rendez-vous,Prise de rendez-vous,1,negative,Démarches administratives,délai traitement long,délai traitement long,Faible,perte de confiance citoyenne et saturation des demandes,False,Je n’arrive pas à obtenir un rendez-vous pour le renouvellement de mon passeport. Cela a augmenté le stress autour de la démarche.
EMBASSY-000014,2025-01-02,Email consulaire,Famille,Pays-Bas,Acte consulaire,Dépôt dossier,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"merci au support cette fois, problème réglé rapidement"
EMBASSY-000015,2026-01-12,Formulaire de contact,Diaspora,Belgique,Visa,Retrait document,1,negative,Démarches administratives,dossier sans suivi,dossier sans suivi,Faible,perte de confiance citoyenne et saturation des demandes,False,"La procédure indiquée sur le site ne correspond pas aux documents demandés sur place. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
EMBASSY-000016,2025-07-18,Email consulaire,Professionnel,France,Passeport,Retrait document,1,negative,Accueil / Support usager,manque de suivi personnalisé,manque de suivi personnalisé,Faible,expérience usager dégradée,False,"Je dois répéter ma situation à chaque contact. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
EMBASSY-000017,2025-02-12,Accueil physique,Famille,Belgique,Passeport,Dépôt dossier,2,negative,Communication,absence de notification,absence de notification,Faible,augmentation des relances et incompréhension des procédures,False,ça devient pénible
EMBASSY-000018,2025-07-28,Email consulaire,Professionnel,Suisse,Passeport,Dépôt dossier,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,pas bloqué mais pas fluide non plus
EMBASSY-000019,2025-09-16,Formulaire de contact,Diaspora,Pays-Bas,Visa,Retrait document,3,negative,Démarches administratives,procédure passeport confuse,procédure passeport confuse,Faible,perte de confiance citoyenne et saturation des demandes,False,"Je n’arrive pas à obtenir un rendez-vous pour le renouvellement de mon passeport. Le cas concerne le segment diaspora, sur le parcours retrait document, avec un impact direct sur visa."
EMBASSY-000020,2025-05-13,Accueil physique,Étudiant,France,Passeport,Prise de rendez-vous,1,negative,Démarches administratives,procédure passeport confuse,procédure passeport confuse,Faible,perte de confiance citoyenne et saturation des demandes,False,trop lent franchement
EMBASSY-000021,2025-10-23,Formulaire de contact,Famille,Luxembourg,Passeport,Retrait document,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"L’expérience est correcte, mais il manque un suivi plus visible."
EMBASSY-000022,2025-12-25,Accueil physique,Professionnel,Pays-Bas,Légalisation,Paiement,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,Le problème a été résolu rapidement après mon contact avec le support.
EMBASSY-000023,2025-08-05,Avis citoyen,Étudiant,Belgique,Rendez-vous,Suivi dossier,1,negative,Accueil / Support usager,répétition dossier,répétition dossier,Faible,expérience usager dégradée,False,Je dois répéter ma situation à chaque contact. Cette situation est remontée depuis Belgique et touche surtout le parcours suivi dossier.
